I (146188) TUNER: --- CSV START ---
I (146188) TUNER: Metadata,PID_0(P:3.60000 I:120.00000 D:0.00000),PID_1(P:3.60000 I:120.00000 D:0.00000)
I (146188) TUNER: Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
I (147568) TUNER: 137,997,1092.26,1098.93,2.68,0.01,1084.26,1098.93,2.81,0.02
I (147578) TUNER: 138,1003,1085.13,1106.95,2.78,0.01,1110.51,1106.95,2.78,0.02
I (147588) TUNER: 139,997,1085.13,1114.97,2.78,0.01,1110.51,1114.97,2.78,0.02
I (147598) TUNER: 140,1003,1117.22,1122.99,2.74,0.01,1116.05,1122.99,2.84,0.02
I (147608) TUNER: 141,997,1117.22,1131.02,2.74,0.01,1116.05,1131.02,2.84,0.02
I (147618) TUNER: 142,1003,1148.91,1139.04,2.69,0.01,1134.23,1139.04,2.85,0.02
I (147628) TUNER: 143,997,1148.91,1147.06,2.69,0.01,1134.23,1147.06,2.85,0.02
I (147638) TUNER: 144,1003,1215.49,1155.08,2.51,0.01,1152.21,1155.08,2.85,0.02
I (147648) TUNER: 145,997,1215.49,1163.10,2.51,0.01,1152.21,1163.10,2.85,0.02
I (147658) TUNER: 146,1003,1259.31,1171.12,2.41,0.01,1186.35,1171.12,2.80,0.02
I (147668) TUNER: 147,997,1259.31,1179.14,2.41,0.01,1186.35,1179.14,2.80,0.02
I (147678) TUNER: 148,1003,1260.86,1187.17,2.45,0.01,1195.62,1187.17,2.84,0.01
I (147688) TUNER: 149,997,1260.86,1195.19,2.45,0.01,1195.62,1195.19,2.84,0.01
I (147698) TUNER: 150,1003,1244.92,1203.21,2.57,0.01,1227.95,1203.21,2.79,0.01
I (147708) TUNER: 151,997,1244.92,1211.23,2.57,0.01,1227.95,1211.23,2.79,0.01
I (147718) TUNER: 152,1003,1223.58,1219.25,2.72,0.01,1237.49,1219.25,2.82,0.01
I (147728) TUNER: 153,997,1223.58,1227.27,2.72,0.01,1237.49,1227.27,2.82,0.01
I (147738) TUNER: 154,1003,1249.46,1235.29,2.70,0.01,1227.94,1235.29,2.93,0.01
I (147748) TUNER: 155,997,1249.46,1243.32,2.70,0.01,1227.94,1243.32,2.93,0.01
I (147758) TUNER: 156,1003,1262.43,1251.34,2.72,0.01,1232.33,1251.34,2.99,0.01
I (147768) TUNER: 157,997,1262.43,1259.36,2.72,0.01,1232.33,1259.36,2.99,0.01
I (147778) TUNER: 158,1003,1276.24,1267.38,2.74,0.01,1257.32,1267.38,2.97,0.01
I (147788) TUNER: 159,997,1276.24,1275.40,2.74,0.01,1257.32,1275.40,2.97,0.01
I (147798) TUNER: 160,1003,1298.46,1283.42,2.73,0.01,1297.92,1283.42,2.90,0.01
I (147808) TUNER: 161,997,1298.46,1291.44,2.73,0.01,1297.92,1291.44,2.90,0.01
I (147818) TUNER: 162,1003,1308.50,1299.47,2.76,0.01,1306.36,1299.47,2.94,0.01
I (147828) TUNER: 163,997,1308.50,1307.49,2.76,0.01,1306.36,1307.49,2.94,0.01
I (147838) TUNER: 164,1003,1332.86,1315.51,2.74,0.01,1341.45,1315.51,2.88,0.01
I (147848) TUNER: 165,997,1332.86,1323.53,2.74,0.01,1341.45,1323.53,2.88,0.01
