00:48:41.008 [TUNER] --- CSV START ---
00:48:41.008 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
00:48:41.008 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:48:42.956 [TUNER] 97,1000,793.72,776.00,1.96,0.00,774.57,776.00,2.33,0.00
00:48:42.996 [TUNER] 98,1000,793.72,784.00,1.96,0.00,774.57,784.00,2.33,0.00
00:48:42.997 [TUNER] 99,1000,837.70,792.00,1.59,0.00,782.87,792.00,2.46,0.00
00:48:42.998 [TUNER] 100,1000,837.70,800.00,1.59,0.00,782.87,800.00,2.46,0.00
00:48:43.041 [TUNER] 101,1000,869.46,808.00,1.36,0.00,810.13,808.00,2.32,0.00
00:48:43.041 [TUNER] 102,1000,869.46,816.00,1.36,0.00,810.13,816.00,2.32,0.00
00:48:43.081 [TUNER] 103,1000,896.58,824.00,1.17,0.00,842.24,824.00,2.10,0.00
00:48:43.082 [TUNER] 104,1000,896.58,832.00,1.17,0.00,842.24,832.00,2.10,0.00
00:48:43.126 [TUNER] 105,1000,865.02,840.00,1.75,0.00,854.19,840.00,2.16,0.00
00:48:43.127 [TUNER] 106,1000,865.02,848.00,1.75,0.00,854.19,848.00,2.16,0.00
00:48:43.170 [TUNER] 107,1000,850.07,856.00,2.15,0.00,850.01,856.00,2.45,0.00
00:48:43.170 [TUNER] 108,1000,850.07,864.00,2.15,0.00,850.01,864.00,2.45,0.00
00:48:43.212 [TUNER] 109,1000,851.87,872.00,2.36,0.00,844.94,872.00,2.78,0.00
00:48:43.213 [TUNER] 110,1000,851.87,880.00,2.36,0.00,844.94,880.00,2.78,0.00
00:48:43.253 [TUNER] 111,1000,858.45,888.00,2.52,0.00,870.09,888.00,2.69,0.00
00:48:43.253 [TUNER] 112,1000,858.45,896.00,2.52,0.00,870.09,896.00,2.69,0.00
00:48:43.296 [TUNER] 113,1000,882.62,904.00,2.46,0.00,905.68,904.00,2.44,0.00
00:48:43.296 [TUNER] 114,1000,882.62,912.00,2.46,0.00,905.68,912.00,2.44,0.00
00:48:43.340 [TUNER] 115,1000,924.29,920.00,2.15,0.00,901.50,920.00,2.74,0.00
00:48:43.340 [TUNER] 116,1000,924.29,928.00,2.15,0.00,901.50,928.00,2.74,0.00
00:48:43.379 [TUNER] 117,1000,974.81,936.00,1.71,0.00,906.75,936.00,2.93,0.00
00:48:43.379 [TUNER] 118,1000,974.81,944.00,1.71,0.00,906.75,944.00,2.93,0.00
00:48:43.380 [TUNER] 119,1000,992.88,952.00,1.66,0.00,936.72,952.00,2.77,0.00
00:48:43.424 [TUNER] 120,1000,992.88,960.00,1.66,0.00,936.72,960.00,2.77,0.00
00:48:43.424 [TUNER] 121,1000,1024.53,968.00,1.43,0.00,1001.93,968.00,2.10,0.00
00:48:43.466 [TUNER] 122,1000,1024.53,976.00,1.43,0.00,1001.93,976.00,2.10,0.00
00:48:43.466 [TUNER] 123,1000,1056.71,984.00,1.19,0.00,1052.38,984.00,1.59,0.00
00:48:43.506 [TUNER] 124,1000,1056.71,992.00,1.19,0.00,1052.38,992.00,1.59,0.00
00:48:43.508 [TUNER] 125,1000,1046.38,1000.00,1.49,0.00,1030.89,1000.00,2.07,0.00
00:48:43.550 [TUNER] 126,1000,1046.38,1008.00,1.49,0.00,1030.89,1008.00,2.07,0.00
