16:32:30.908 [TUNER] --- CSV START ---
16:32:30.908 [TUNER] Metadata,PID_0(P:15.61860 I:661.27509 D:0.00000),PID_1(P:15.35330 I:650.89368 D:0.00000)
16:32:30.908 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
16:32:35.265 [TUNER] 219,996,1507.06,1500.00,2.15,0.00,1501.44,1500.00,2.12,0.00
16:32:35.307 [TUNER] 220,1004,1522.63,1500.00,1.88,0.00,1512.12,1500.00,1.94,0.00
16:32:35.307 [TUNER] 221,996,1522.63,1500.00,1.88,0.00,1512.12,1500.00,1.94,0.00
16:32:35.349 [TUNER] 222,1004,1566.87,1500.00,1.10,0.00,1525.82,1500.00,1.69,0.00
16:32:35.351 [TUNER] 223,996,1566.87,1500.00,1.10,0.00,1525.82,1500.00,1.69,0.00
16:32:35.390 [TUNER] 224,1004,1556.74,1500.00,1.18,0.00,1513.58,1500.00,1.86,0.00
16:32:35.392 [TUNER] 225,996,1556.74,1500.00,1.18,0.00,1513.58,1500.00,1.86,0.00
16:32:35.433 [TUNER] 226,1004,1552.92,1500.00,1.17,0.00,1505.51,1500.00,1.98,0.00
16:32:35.434 [TUNER] 227,996,1552.92,1500.00,1.17,0.00,1505.51,1500.00,1.98,0.00
16:32:35.478 [TUNER] 228,1004,1542.14,1500.00,1.29,0.00,1514.52,1500.00,1.82,0.00
16:32:35.479 [TUNER] 229,996,1542.14,1500.00,1.29,0.00,1514.52,1500.00,1.82,0.00
16:32:35.519 [TUNER] 230,1004,1499.15,1500.00,1.96,0.00,1514.85,1500.00,1.80,0.00
16:32:35.519 [TUNER] 231,996,1499.15,1500.00,1.96,0.00,1514.85,1500.00,1.80,0.00
16:32:35.562 [TUNER] 232,1004,1500.84,1500.00,1.93,0.00,1505.67,1500.00,1.93,0.00
16:32:35.563 [TUNER] 233,996,1500.84,1500.00,1.93,0.00,1505.67,1500.00,1.93,0.00
16:32:35.606 [TUNER] 234,1004,1541.71,1500.00,1.24,0.00,1494.03,1500.00,2.12,0.00
16:32:35.607 [TUNER] 235,996,1541.71,1500.00,1.24,0.00,1494.03,1500.00,2.12,0.00
16:32:35.607 [TUNER] 236,1004,1527.15,1500.00,1.43,0.00,1495.88,1500.00,2.10,0.00
16:32:35.646 [TUNER] 237,996,1527.15,1500.00,1.43,0.00,1495.88,1500.00,2.10,0.00
16:32:35.647 [TUNER] 238,1004,1515.51,1500.00,1.59,0.00,1521.42,1500.00,1.68,0.00
16:32:35.689 [TUNER] 239,996,1515.51,1500.00,1.59,0.00,1521.42,1500.00,1.68,0.00
16:32:35.689 [TUNER] 240,1004,1512.21,1500.00,1.63,0.00,1516.94,1500.00,1.72,0.00
16:32:35.731 [TUNER] 241,996,1512.21,1500.00,1.63,0.00,1516.94,1500.00,1.72,0.00
16:32:35.732 [TUNER] 242,1004,1489.81,1500.00,1.99,0.00,1521.08,1500.00,1.63,0.00
16:32:35.774 [TUNER] 243,996,1489.81,1500.00,1.99,0.00,1521.08,1500.00,1.63,0.00
16:32:35.775 [TUNER] 244,1004,1477.91,1500.00,2.20,0.00,1515.81,1500.00,1.69,0.00
16:32:35.817 [TUNER] 245,996,1477.91,1500.00,2.20,0.00,1515.81,1500.00,1.69,0.00
16:32:35.818 [TUNER] 246,1004,1520.78,1500.00,1.51,0.00,1510.73,1500.00,1.76,0.00
16:32:35.858 [TUNER] 247,996,1520.78,1500.00,1.51,0.00,1510.73,1500.00,1.76,0.00
16:32:35.901 [TUNER] 248,1004,1557.66,1500.00,0.85,0.00,1524.71,1500.00,1.51,0.00
