00:08:05.113 [TUNER] --- CSV START ---
00:08:05.113 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:12.38267 I:446.36163 D:0.00000),PID_1(P:13.40700 I:479.74985 D:0.00000)
00:08:05.113 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:08:09.084 [TUNER] 197,1000,1655.03,1612.40,2.83,0.00,1625.62,1612.40,3.60,0.00
00:08:09.084 [TUNER] 198,1000,1655.03,1621.20,2.83,0.00,1625.62,1621.20,3.60,0.00
00:08:09.118 [TUNER] 199,1000,1705.44,1629.90,2.38,0.00,1745.47,1629.90,2.13,0.00
00:08:09.153 [TUNER] 200,1000,1705.44,1638.50,2.38,0.00,1745.47,1638.50,2.13,0.00
00:08:09.154 [TUNER] 201,1000,1790.43,1647.00,1.42,0.00,1863.69,1647.00,0.58,0.00
00:08:09.188 [TUNER] 202,1000,1790.43,1655.40,1.42,0.00,1863.69,1655.40,0.58,0.00
00:08:09.189 [TUNER] 203,1000,1889.34,1663.70,0.22,0.00,1944.52,1663.70,-0.53,0.00
00:08:09.223 [TUNER] 204,1000,1889.34,1671.90,0.22,0.00,1944.52,1671.90,-0.53,0.00
00:08:09.261 [TUNER] 205,1000,1918.66,1680.00,-0.14,0.00,1933.59,1680.00,-0.39,0.00
00:08:09.264 [TUNER] 206,1000,1918.66,1688.00,-0.14,0.00,1933.59,1688.00,-0.39,0.00
00:08:09.294 [TUNER] 207,1000,1904.31,1695.90,0.07,0.00,1866.43,1695.90,0.57,0.00
00:08:09.296 [TUNER] 208,1000,1904.31,1703.70,0.07,0.00,1866.43,1703.70,0.57,0.00
00:08:09.328 [TUNER] 209,1000,1763.97,1711.40,1.97,0.00,1756.01,1711.40,2.23,0.00
00:08:09.329 [TUNER] 210,1000,1763.97,1719.00,1.97,0.00,1756.01,1719.00,2.23,0.00
00:08:09.363 [TUNER] 211,1000,1612.19,1726.50,4.15,0.00,1686.57,1726.50,3.42,0.00
00:08:09.399 [TUNER] 212,1000,1612.19,1733.90,4.15,0.00,1686.57,1733.90,3.42,0.00
00:08:09.399 [TUNER] 213,1000,1592.13,1741.20,4.73,0.00,1655.07,1741.20,4.14,0.00
00:08:09.433 [TUNER] 214,1000,1592.13,1748.40,4.73,0.00,1655.07,1748.40,4.14,0.00
00:08:09.433 [TUNER] 215,1000,1655.11,1755.50,4.23,0.00,1621.28,1755.50,4.92,0.00
00:08:09.468 [TUNER] 216,1000,1655.11,1762.50,4.23,0.00,1621.28,1762.50,4.92,0.00
00:08:09.468 [TUNER] 217,1000,1717.53,1769.40,3.69,0.00,1671.56,1769.40,4.54,0.00
00:08:09.503 [TUNER] 218,1000,1717.53,1776.20,3.69,0.00,1671.56,1776.20,4.54,0.00
00:08:09.540 [TUNER] 219,1000,1776.05,1782.90,3.15,0.00,1727.25,1782.90,4.04,0.00
00:08:09.540 [TUNER] 220,1000,1776.05,1789.50,3.15,0.00,1727.25,1789.50,4.04,0.00
00:08:09.573 [TUNER] 221,1000,1785.07,1796.00,3.23,0.00,1830.21,1796.00,2.82,0.00
00:08:09.573 [TUNER] 222,1000,1785.07,1802.40,3.23,0.00,1830.21,1802.40,2.82,0.00
00:08:09.608 [TUNER] 223,1000,1842.11,1808.70,2.66,0.00,1888.53,1808.70,2.14,0.00
00:08:09.609 [TUNER] 224,1000,1842.11,1814.90,2.66,0.00,1888.53,1814.90,2.14,0.00
00:08:09.646 [TUNER] 225,1000,1877.43,1821.00,2.34,0.00,1933.47,1821.00,1.61,0.00
00:08:09.680 [TUNER] 226,1000,1877.43,1827.00,2.34,0.00,1933.47,1827.00,1.61,0.00
00:08:09.681 [TUNER] 227,1000,2007.05,1832.90,0.73,0.00,1926.46,1832.90,1.79,0.00
00:08:09.714 [TUNER] 228,1000,2007.05,1838.70,0.73,0.00,1926.46,1838.70,1.79,0.00
00:08:09.714 [TUNER] 229,1000,2038.59,1844.40,0.32,0.00,1860.73,1844.40,2.82,0.00
00:08:09.748 [TUNER] 230,1000,2038.59,1850.00,0.32,0.00,1860.73,1850.00,2.82,0.00
00:08:09.750 [TUNER] 231,1000,2038.05,1855.50,0.32,0.00,1818.45,1855.50,3.58,0.00
00:08:09.784 [TUNER] 232,1000,2038.05,1860.90,0.32,0.00,1818.45,1860.90,3.58,0.00
00:08:09.818 [TUNER] 233,1000,1886.43,1866.20,2.32,0.00,1772.60,1866.20,4.44,0.00
00:08:09.818 [TUNER] 234,1000,1886.43,1871.40,2.32,0.00,1772.60,1871.40,4.44,0.00
00:08:09.852 [TUNER] 235,1000,1763.42,1876.50,4.08,0.00,1763.41,1876.50,4.82,0.00
00:08:09.853 [TUNER] 236,1000,1763.42,1881.50,4.08,0.00,1763.41,1881.50,4.82,0.00
00:08:09.889 [TUNER] 237,1000,1723.42,1886.40,4.86,0.00,1781.83,1886.40,4.81,0.00
00:08:09.889 [TUNER] 238,1000,1723.42,1891.20,4.86,0.00,1781.83,1891.20,4.81,0.00
00:08:09.922 [TUNER] 239,1000,1717.20,1895.90,5.22,0.00,1757.05,1895.90,5.42,0.00
00:08:09.958 [TUNER] 240,1000,1717.20,1900.50,5.22,0.00,1757.05,1900.50,5.42,0.00
00:08:09.958 [TUNER] 241,1000,1846.22,1905.00,3.80,0.00,1778.46,1905.00,5.38,0.00
00:08:09.995 [TUNER] 242,1000,1846.22,1909.40,3.80,0.00,1778.46,1909.40,5.38,0.00
00:08:09.996 [TUNER] 243,1000,1935.70,1913.70,2.78,0.00,1845.41,1913.70,4.67,0.00
00:08:10.030 [TUNER] 244,1000,1935.70,1917.90,2.78,0.00,1845.41,1917.90,4.67,0.00
00:08:10.030 [TUNER] 245,1000,2062.26,1922.00,1.20,0.00,1983.15,1922.00,2.89,0.00
