04:12:00.810 [TUNER] --- CSV START ---
04:12:00.810 [TUNER] Metadata,PID_0(P:12.35200 I:445.32941 D:0.00000),PID_1(P:13.37410 I:478.63708 D:0.00000)
04:12:00.811 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
04:12:03.812 [TUNER] 151,1000,1359.86,1360.36,2.92,0.00,1360.93,1360.36,2.96,0.00
04:12:03.847 [TUNER] 152,1000,1387.95,1369.37,2.79,0.00,1364.86,1369.37,3.17,0.00
04:12:03.849 [TUNER] 153,1000,1387.95,1378.38,2.79,0.00,1364.86,1378.38,3.17,0.00
04:12:03.882 [TUNER] 154,1000,1406.36,1387.39,2.79,0.00,1385.57,1387.39,3.15,0.00
04:12:03.882 [TUNER] 155,1000,1406.36,1396.40,2.79,0.00,1385.57,1396.40,3.15,0.00
04:12:03.918 [TUNER] 156,1000,1430.66,1405.41,2.71,0.00,1400.78,1405.41,3.21,0.00
04:12:03.918 [TUNER] 157,1000,1430.66,1414.41,2.71,0.00,1400.78,1414.41,3.21,0.00
04:12:03.952 [TUNER] 158,1000,1452.52,1423.42,2.65,0.00,1403.30,1423.42,3.46,0.00
04:12:03.987 [TUNER] 159,1000,1452.52,1432.43,2.65,0.00,1403.30,1432.43,3.46,0.00
04:12:03.987 [TUNER] 160,1000,1445.58,1441.44,2.97,0.00,1421.89,1441.44,3.49,0.00
04:12:04.023 [TUNER] 161,1000,1445.58,1450.45,2.97,0.00,1421.89,1450.45,3.49,0.00
04:12:04.023 [TUNER] 162,1000,1447.91,1459.46,3.20,0.00,1431.75,1459.46,3.64,0.00
04:12:04.057 [TUNER] 163,1000,1447.91,1468.47,3.20,0.00,1431.75,1468.47,3.64,0.00
04:12:04.058 [TUNER] 164,1000,1464.62,1477.48,3.24,0.00,1439.76,1477.48,3.83,0.00
04:12:04.094 [TUNER] 165,1000,1464.62,1486.49,3.24,0.00,1439.76,1486.49,3.83,0.00
