00:06:54.936 [TUNER] --- CSV START ---
00:06:54.937 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:10.47029 I:327.93915 D:0.00000),PID_1(P:11.35157 I:352.46927 D:0.00000)
00:06:54.938 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
00:06:58.453 [TUNER] 174,1000,1397.02,1382.40,3.06,0.01,1382.66,1382.40,3.48,0.01
00:06:58.453 [TUNER] 175,1000,1397.02,1393.50,3.06,0.01,1382.66,1393.50,3.48,0.01
00:06:58.487 [TUNER] 176,1000,1416.56,1404.50,3.10,0.01,1368.99,1404.50,3.93,0.01
00:06:58.523 [TUNER] 177,1000,1416.56,1415.40,3.10,0.01,1368.99,1415.40,3.93,0.01
00:06:58.523 [TUNER] 178,1000,1406.42,1426.20,3.47,0.01,1401.01,1426.20,3.86,0.01
00:06:58.561 [TUNER] 179,1000,1406.42,1436.90,3.47,0.01,1401.01,1436.90,3.86,0.01
00:06:58.564 [TUNER] 180,1000,1412.05,1447.50,3.68,0.01,1421.47,1447.50,3.90,0.01
00:06:58.594 [TUNER] 181,1000,1412.05,1458.00,3.68,0.01,1421.47,1458.00,3.90,0.01
00:06:58.594 [TUNER] 182,1000,1444.05,1468.40,3.60,0.01,1477.35,1468.40,3.52,0.01
00:06:58.628 [TUNER] 183,1000,1444.05,1478.70,3.60,0.01,1477.35,1478.70,3.52,0.01
00:06:58.664 [TUNER] 184,1000,1467.92,1488.90,3.60,0.01,1589.06,1488.90,2.44,0.01
00:06:58.665 [TUNER] 185,1000,1467.92,1499.00,3.60,0.01,1589.06,1499.00,2.44,0.01
00:06:58.698 [TUNER] 186,1000,1523.10,1509.00,3.24,0.01,1637.19,1509.00,2.05,0.01
00:06:58.699 [TUNER] 187,1000,1523.10,1518.90,3.24,0.01,1637.19,1518.90,2.05,0.01
00:06:58.732 [TUNER] 188,1000,1580.99,1528.70,2.83,0.01,1710.06,1528.70,1.33,0.00
00:06:58.733 [TUNER] 189,1000,1580.99,1538.40,2.83,0.01,1710.06,1538.40,1.33,0.00
00:06:58.768 [TUNER] 190,1000,1596.38,1548.00,2.86,0.01,1709.94,1548.00,1.46,0.00
00:06:58.806 [TUNER] 191,1000,1596.38,1557.50,2.86,0.01,1709.94,1557.50,1.46,0.00
00:06:58.806 [TUNER] 192,1000,1613.84,1566.90,2.86,0.01,1668.62,1566.90,2.09,0.00
00:06:58.838 [TUNER] 193,1000,1613.84,1576.20,2.86,0.01,1668.62,1576.20,2.09,0.00
00:06:58.838 [TUNER] 194,1000,1600.33,1585.40,3.21,0.01,1620.09,1585.40,2.84,0.00
00:06:58.876 [TUNER] 195,1000,1600.33,1594.50,3.21,0.01,1620.09,1594.50,2.84,0.00
00:06:58.880 [TUNER] 196,1000,1613.56,1603.50,3.27,0.01,1569.24,1603.50,3.67,0.00
00:06:58.909 [TUNER] 197,1000,1613.56,1612.40,3.27,0.01,1569.24,1612.40,3.67,0.00
00:06:58.943 [TUNER] 198,1000,1643.05,1621.20,3.15,0.01,1550.90,1621.20,4.15,0.00
00:06:58.944 [TUNER] 199,1000,1643.05,1629.90,3.15,0.01,1550.90,1629.90,4.15,0.00
00:06:58.978 [TUNER] 200,1000,1656.34,1638.50,3.20,0.01,1580.90,1638.50,4.06,0.00
00:06:58.979 [TUNER] 201,1000,1656.34,1647.00,3.20,0.01,1580.90,1647.00,4.06,0.00
00:06:59.013 [TUNER] 202,1000,1689.56,1655.40,3.02,0.00,1572.74,1655.40,4.42,0.00
00:06:59.015 [TUNER] 203,1000,1689.56,1663.70,3.02,0.00,1572.74,1663.70,4.42,0.00
00:06:59.047 [TUNER] 204,1000,1732.86,1671.90,2.72,0.00,1623.88,1671.90,4.08,0.00
00:06:59.084 [TUNER] 205,1000,1732.86,1680.00,2.72,0.00,1623.88,1680.00,4.08,0.00
00:06:59.084 [TUNER] 206,1000,1848.45,1688.00,1.58,0.00,1697.69,1688.00,3.43,0.00
00:06:59.119 [TUNER] 207,1000,1848.45,1695.90,1.58,0.00,1697.69,1695.90,3.43,0.00
