23:56:14.692 [TUNER] --- CSV START ---
23:56:14.692 [TUNER] Metadata,Profile(Accel:12.0 Jerk:100.0),PID_0(P:15.02310 I:641.27429 D:0.00000),PID_1(P:16.24510 I:689.23749 D:0.00000)
23:56:14.692 [TUNER] Tick,DeltaTime_us,Reading_0,Setpoint_0,Output_0,int_0,Reading_1,Setpoint_1,Output_1,int_1
23:56:19.051 [TUNER] 218,1000,0.00,1776.20,16.00,0.08,0.00,1776.20,16.00,0.08
23:56:19.081 [TUNER] 219,1000,0.00,1782.90,16.00,0.08,0.00,1782.90,16.00,0.08
23:56:19.117 [TUNER] 220,1000,0.00,1789.50,16.00,0.08,0.00,1789.50,16.00,0.08
23:56:19.118 [TUNER] 221,1000,0.00,1796.00,16.00,0.08,0.00,1796.00,16.00,0.08
23:56:19.154 [TUNER] 222,1000,0.00,1802.40,16.00,0.08,0.00,1802.40,16.00,0.08
23:56:19.154 [TUNER] 223,1000,0.00,1808.70,16.00,0.08,0.00,1808.70,16.00,0.08
23:56:19.187 [TUNER] 224,1000,0.00,1814.90,16.00,0.08,0.00,1814.90,16.00,0.08
23:56:19.187 [TUNER] 225,1000,0.00,1821.00,16.00,0.08,0.00,1821.00,16.00,0.08
23:56:19.221 [TUNER] 226,1000,0.00,1827.00,16.00,0.08,0.00,1827.00,16.00,0.08
23:56:19.256 [TUNER] 227,1000,0.00,1832.90,16.00,0.08,0.00,1832.90,16.00,0.08
23:56:19.256 [TUNER] 228,1000,0.00,1838.70,16.00,0.08,0.00,1838.70,16.00,0.08
23:56:19.291 [TUNER] 229,1000,0.00,1844.40,16.00,0.08,0.00,1844.40,16.00,0.08
23:56:19.292 [TUNER] 230,1000,0.00,1850.00,16.00,0.08,0.00,1850.00,16.00,0.08
23:56:19.327 [TUNER] 231,1000,0.00,1855.50,16.00,0.08,0.00,1855.50,16.00,0.08
23:56:19.328 [TUNER] 232,1000,0.00,1860.90,16.00,0.08,0.00,1860.90,16.00,0.08
23:56:19.362 [TUNER] 233,1000,0.00,1866.20,16.00,0.08,0.00,1866.20,16.00,0.08
23:56:19.397 [TUNER] 234,1000,0.00,1871.40,16.00,0.08,0.00,1871.40,16.00,0.08
23:56:19.434 [TUNER] 235,1000,0.00,1876.50,16.00,0.08,0.00,1876.50,16.00,0.08
23:56:19.437 [TUNER] 236,1000,0.00,1881.50,16.00,0.08,0.00,1881.50,16.00,0.08
23:56:19.437 [TUNER] 237,1000,0.00,1886.40,16.00,0.08,0.00,1886.40,16.00,0.08
23:56:19.466 [TUNER] 238,1000,0.00,1891.20,16.00,0.08,0.00,1891.20,16.00,0.08
23:56:19.466 [TUNER] 239,1000,0.00,1895.90,16.00,0.08,0.00,1895.90,16.00,0.08
23:56:19.501 [TUNER] 240,1000,0.00,1900.50,16.00,0.08,0.00,1900.50,16.00,0.08
23:56:19.537 [TUNER] 241,1000,0.00,1905.00,16.00,0.08,0.00,1905.00,16.00,0.08
23:56:19.571 [TUNER] 242,1000,0.00,1909.40,16.00,0.08,0.00,1909.40,16.00,0.08
23:56:19.572 [TUNER] 243,1000,0.00,1913.70,16.00,0.08,0.00,1913.70,16.00,0.08
23:56:19.573 [TUNER] 244,1000,0.00,1917.90,16.00,0.08,0.00,1917.90,16.00,0.08
23:56:19.606 [TUNER] 245,1000,0.00,1922.00,16.00,0.08,0.00,1922.00,16.00,0.08
23:56:19.607 [TUNER] 246,1000,0.00,1926.00,16.00,0.08,0.00,1926.00,16.00,0.08
23:56:19.642 [TUNER] 247,1000,0.00,1929.90,16.00,0.08,0.00,1929.90,16.00,0.08
23:56:19.677 [TUNER] 248,1000,0.00,1933.70,16.00,0.08,0.00,1933.70,16.00,0.08
23:56:19.677 [TUNER] 249,1000,0.00,1937.40,16.00,0.08,0.00,1937.40,16.00,0.08
