22:17:38.447 [MCH] --- CSV START ---
22:17:38.448 [MCH] Metadata,Voltage:0.5V,Duration:2000ms
22:17:38.448 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:49.858 [MCH] 158,10000,0.973,0.944
22:17:49.858 [MCH] 159,10000,0.977,0.936
22:17:49.859 [MCH] 160,10000,0.973,0.930
22:17:49.902 [MCH] 161,10000,0.969,0.923
22:17:49.902 [MCH] 162,10000,0.969,0.925
22:17:49.944 [MCH] 163,10000,0.980,0.931
22:17:49.945 [MCH] 164,10000,0.969,0.934
22:17:49.986 [MCH] 165,10000,0.975,0.934
22:17:49.988 [MCH] 166,10000,0.975,0.943
22:17:50.029 [MCH] 167,10000,0.974,0.947
22:17:50.029 [MCH] 168,10000,0.970,0.944
22:17:50.029 [MCH] 169,10000,0.970,0.943
22:17:50.071 [MCH] 170,10000,0.975,0.944
22:17:50.073 [MCH] 171,10000,0.967,0.946
22:17:50.113 [MCH] 172,10000,0.979,0.952
22:17:50.113 [MCH] 173,10000,0.966,0.952
22:17:50.156 [MCH] 174,10000,0.975,0.950
22:17:50.157 [MCH] 175,10000,0.967,0.949
22:17:50.199 [MCH] 176,10000,0.974,0.941
22:17:50.199 [MCH] 177,10000,0.977,0.931
22:17:50.243 [MCH] 178,10000,0.974,0.924
22:17:50.244 [MCH] 179,10000,0.965,0.915
22:17:50.283 [MCH] 180,10000,0.969,0.912
22:17:50.283 [MCH] 181,10000,0.981,0.917
22:17:50.325 [MCH] 182,10000,0.968,0.924
22:17:50.326 [MCH] 183,10000,0.975,0.929
22:17:50.370 [MCH] 184,10000,0.972,0.933
22:17:50.371 [MCH] 185,10000,0.974,0.943
22:17:50.371 [MCH] 186,10000,0.971,0.948
22:17:50.411 [MCH] 187,10000,0.975,0.946
22:17:50.411 [MCH] 188,10000,0.972,0.942
22:17:50.455 [MCH] 189,10000,0.969,0.945
22:17:50.456 [MCH] 190,10000,0.971,0.947
22:17:50.495 [MCH] 191,10129,0.967,0.953
22:17:50.496 [MCH] 192,9880,0.976,0.955
22:17:50.541 [MCH] 193,9991,0.970,0.952
22:17:50.542 [MCH] 194,10000,0.975,0.952
22:17:50.580 [MCH] 195,10000,0.978,0.945
22:17:50.580 [MCH] 196,10000,0.975,0.935
22:17:50.624 [MCH] 197,10000,0.964,0.927
22:17:50.624 [MCH] 198,10000,0.969,0.922
22:17:50.667 [MCH] 199,10000,0.978,0.919
22:17:50.667 [MCH] --- CSV END ---
22:17:50.668 [MCH] Ready for next step: 2.0V. Send 'MPASS' to start.
22:17:50.671 [MCH] Ready for step 3/13 (2.0V). Send 'PASS' to start or 'ABORT' to cancel.
22:17:55.277 MPASS
22:17:55.469 [MCH] Running step 3/13: Applying 2.0V for 2000 ms...
22:17:57.528 [MCH] --- CSV START ---
22:17:57.528 [MCH] Metadata,Voltage:2.0V,Duration:2000ms
22:17:57.530 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:17:57.532 [MCH] 0,0,0.098,0.088
22:17:57.549 [MCH] 1,9659,0.339,0.302
22:17:57.550 [MCH] 2,9992,0.596,0.545
22:17:57.593 [MCH] 3,9921,0.843,0.785
22:17:57.596 [MCH] 4,9998,1.060,0.999
22:17:57.639 [MCH] 5,10045,1.246,1.189
22:17:57.640 [MCH] 6,9955,1.392,1.344
22:17:57.677 [MCH] 7,10016,1.526,1.473
22:17:57.678 [MCH] 8,9984,1.618,1.575
22:17:57.721 [MCH] 9,10000,1.702,1.664
22:17:57.722 [MCH] 10,10000,1.764,1.738
22:17:57.764 [MCH] 11,10000,1.814,1.798
22:17:57.765 [MCH] 12,10000,1.862,1.849
22:17:57.766 [MCH] 13,10000,1.889,1.882
22:17:57.807 [MCH] 14,10000,1.925,1.911
22:17:57.807 [MCH] 15,10000,1.943,1.936
22:17:57.849 [MCH] 16,10000,1.957,1.953
22:17:57.849 [MCH] 17,10000,1.972,1.958
22:17:57.891 [MCH] 18,10000,1.979,1.975
22:17:57.892 [MCH] 19,10000,1.994,1.990
22:17:57.934 [MCH] 20,10000,2.005,2.000
22:17:57.934 [MCH] 21,10000,2.010,2.000
22:17:57.979 [MCH] 22,10041,2.009,2.007
22:17:57.980 [MCH] 23,9959,2.014,2.013
22:17:58.019 [MCH] 24,10000,2.025,2.017
22:17:58.019 [MCH] 25,10000,2.021,2.020
22:17:58.062 [MCH] 26,10000,2.030,2.018
22:17:58.062 [MCH] 27,10000,2.026,2.023
22:17:58.105 [MCH] 28,10000,2.031,2.024
22:17:58.105 [MCH] 29,10000,2.029,2.034
22:17:58.106 [MCH] 30,10000,2.030,2.022
22:17:58.145 [MCH] 31,10000,2.035,2.033
22:17:58.145 [MCH] 32,10000,2.026,2.034
22:17:58.190 [MCH] 33,10019,2.037,2.033
22:17:58.190 [MCH] 34,9991,2.029,2.026
22:17:58.235 [MCH] 35,9990,2.028,2.028
22:17:58.235 [MCH] 36,10000,2.028,2.031
22:17:58.273 [MCH] 37,10002,2.028,2.033
22:17:58.274 [MCH] 38,9998,2.028,2.035
22:17:58.314 [MCH] 39,10040,2.026,2.030
22:17:58.314 [MCH] 40,9960,2.032,2.035
22:17:58.361 [MCH] 41,10000,2.024,2.039
22:17:58.363 [MCH] 42,10000,2.023,2.037
