22:33:24.926 [MCH] --- CSV START ---
22:33:24.926 [MCH] Metadata,Voltage:0.5V,Duration:1000ms
22:33:24.926 [MCH] Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
22:35:06.992 [MCH] 29,10000,1.521,1.388
22:35:06.993 [MCH] 30,10000,1.542,1.409
22:35:07.035 [MCH] 31,10000,1.570,1.433
22:35:07.035 [MCH] 32,10000,1.583,1.443
22:35:07.077 [MCH] 33,10000,1.599,1.470
22:35:07.078 [MCH] 34,10000,1.610,1.486
22:35:07.122 [MCH] 35,10000,1.636,1.508
22:35:07.123 [MCH] 36,10000,1.659,1.526
22:35:07.162 [MCH] 37,10000,1.669,1.534
22:35:07.162 [MCH] 38,10000,1.669,1.552
22:35:07.162 [MCH] 39,10000,1.704,1.566
22:35:07.205 [MCH] 40,10000,1.711,1.575
22:35:07.205 [MCH] 41,10000,1.734,1.595
22:35:07.246 [MCH] 42,10000,1.731,1.600
22:35:07.247 [MCH] 43,10000,1.744,1.609
22:35:07.289 [MCH] 44,10000,1.747,1.633
22:35:07.290 [MCH] 45,10000,1.771,1.643
22:35:07.332 [MCH] 46,10000,1.784,1.651
22:35:07.334 [MCH] 47,10000,1.786,1.658
22:35:07.376 [MCH] 48,10000,1.786,1.662
22:35:07.376 [MCH] 49,10000,1.793,1.669
22:35:07.418 [MCH] 50,10000,1.801,1.682
22:35:07.419 [MCH] 51,10000,1.813,1.690
22:35:07.461 [MCH] 52,10000,1.813,1.696
22:35:07.462 [MCH] 53,10000,1.809,1.706
22:35:07.502 [MCH] 54,10000,1.823,1.714
22:35:07.503 [MCH] 55,10000,1.833,1.719
22:35:07.503 [MCH] 56,10000,1.853,1.724
22:35:07.543 [MCH] 57,10000,1.850,1.731
22:35:07.544 [MCH] 58,10000,1.856,1.737
22:35:07.587 [MCH] 59,10050,1.852,1.741
22:35:07.587 [MCH] 60,9950,1.873,1.740
22:35:07.630 [MCH] 61,10000,1.868,1.745
22:35:07.630 [MCH] 62,10000,1.881,1.753
22:35:07.672 [MCH] 63,10000,1.878,1.751
22:35:07.672 [MCH] 64,10000,1.891,1.769
22:35:07.713 [MCH] 65,10000,1.892,1.763
22:35:07.714 [MCH] 66,10000,1.896,1.771
22:35:07.759 [MCH] 67,10000,1.894,1.777
22:35:07.759 [MCH] 68,10000,1.903,1.781
22:35:07.800 [MCH] 69,10000,1.916,1.785
22:35:07.800 [MCH] 70,10000,1.910,1.791
22:35:07.847 [MCH] 71,10000,1.913,1.793
22:35:07.847 [MCH] 72,10000,1.909,1.803
22:35:07.848 [MCH] 73,10000,1.926,1.803
22:35:07.883 [MCH] 74,10000,1.933,1.807
22:35:07.883 [MCH] 75,10000,1.919,1.801
22:35:07.927 [MCH] 76,10050,1.916,1.805
22:35:07.927 [MCH] 77,9950,1.911,1.809
22:35:07.969 [MCH] 78,10000,1.918,1.810
22:35:07.970 [MCH] 79,10000,1.923,1.808
22:35:08.012 [MCH] 80,10000,1.915,1.805
22:35:08.013 [MCH] 81,10000,1.922,1.812
22:35:08.059 [MCH] 82,10000,1.920,1.810
22:35:08.060 [MCH] 83,10000,1.934,1.815
22:35:08.096 [MCH] 84,10000,1.928,1.815
22:35:08.097 [MCH] 85,10000,1.923,1.815
22:35:08.139 [MCH] 86,10000,1.926,1.823
22:35:08.140 [MCH] 87,10068,1.918,1.827
22:35:08.186 [MCH] 88,9958,1.931,1.824
22:35:08.189 [MCH] 89,9982,1.916,1.817
22:35:08.225 [MCH] 90,10006,1.919,1.815
22:35:08.226 [MCH] 91,9987,1.924,1.823
22:35:08.226 [MCH] 92,10000,1.928,1.820
22:35:08.268 [MCH] 93,10052,1.938,1.819
22:35:08.270 [MCH] 94,9961,1.925,1.817
22:35:08.307 [MCH] 95,9987,1.944,1.827
22:35:08.308 [MCH] 96,10000,1.932,1.825
22:35:08.354 [MCH] 97,10000,1.935,1.823
22:35:08.354 [MCH] 98,10002,1.936,1.816
22:35:08.393 [MCH] 99,10011,1.935,1.821
22:35:08.394 [MCH] --- CSV END ---
22:35:08.394 [MCH] Ready for next step: 3.0V. Send 'MPASS' to start.
22:35:08.395 [MCH] Ready for step 4/13 (3.0V). Send 'PASS' to start or 'ABORT' to cancel.
