I (10234) MCH: --- CSV START ---
I (10234) MCH: Metadata,Voltage:1.0V,Duration:800ms
I (10234) MCH: Point,DeltaTime_us,Vel_Left_m_s,Vel_Right_m_s
I (10234) MCH: 62,10000,4.762,4.546
I (10234) MCH: 63,10000,4.760,4.571
I (10234) MCH: 64,10000,4.782,4.414
I (10234) MCH: 65,10000,4.799,4.466
I (10234) MCH: 66,10000,4.804,4.507
I (10234) MCH: 67,10000,4.813,4.540
I (10234) MCH: 68,10000,4.824,4.567
I (10234) MCH: 69,10000,4.833,4.411
I (10234) MCH: 70,10000,4.840,4.463
I (10234) MCH: 71,10000,4.846,4.505
I (10234) MCH: 72,10000,4.850,4.365
I (10234) MCH: 73,10000,4.854,4.426
I (10234) MCH: 74,10000,4.857,4.476
I (10234) MCH: 75,10000,4.859,4.337
I (10234) MCH: 76,10000,4.861,4.404
I (10234) MCH: 77,10000,4.862,4.457
I (10234) MCH: 78,10000,4.863,4.322
I (10234) MCH: 79,10000,4.678,4.392
I (10234) MCH: --- CSV END ---
